,date,usd_value,btc_value
0,2019-03-14 20:00:00,7411.4691386625,1.92893985
1,2019-03-15 20:00:00,7388.579876115,1.90218958
2,2019-03-16 20:00:00,7508.9705456025,1.87384629
3,2019-03-17 20:00:00,7469.177178795,1.88413374
4,2019-03-18 20:00:00,7459.7320795625,1.88674855
5,2019-03-19 20:00:00,7430.7979282075,1.87374341
6,2019-03-20 20:00:00,7374.050620925,1.84755418
7,2019-03-21 20:00:00,7377.81417334,1.82924792109
8,2019-03-22 20:00:00,7332.57603172,1.84247152
9,2019-03-23 20:00:00,7270.9193757975,1.82835717
10,2019-03-24 20:00:00,7254.6578566875,1.82679455
11,2019-03-25 20:00:00,7232.999702145,1.82202902
12,2019-03-26 20:00:00,7275.963393615,1.86910626
13,2019-03-27 20:00:00,7290.503033625,1.8152513
14,2019-03-28 20:00:00,7267.9443374125,1.81755407
15,2019-03-29 20:00:00,7333.0267346875,1.79083625
16,2019-03-30 20:00:00,7305.0395761575,1.79012181
17,2019-03-31 20:00:00,7295.31225867,1.78140828
18,2019-04-01 20:00:00,7266.33954948,1.76936496
19,2019-04-02 20:00:00,7572.07027017,1.58320428
20,2019-04-03 20:00:00,9026.6681025,1.81668792
21,2019-04-04 20:00:00,9028.1480966525,1.80843269
22,2019-04-05 20:00:00,9025.0066959025,1.80527213
23,2019-04-06 20:00:00,9025.694751165,1.80486822
24,2019-04-07 20:00:00,9002.711353825,1.7611799
25,2019-04-08 20:00:00,9044.114877325,1.7558831
26,2019-04-09 20:00:00,9016.8690111175,1.73293019
27,2019-04-10 20:00:00,8994.6794333,1.7167876
28,2019-04-11 20:00:00,9166.5120783075,1.81524077
29,2019-04-12 20:00:00,9170.8425625475,1.80786409
30,2019-04-13 20:00:00,9173.1769767625,1.81243309
31,2019-04-14 20:00:00,9161.41582982,1.80903704
32,2019-04-15 20:00:00,9164.56819985,1.7865526
33,2019-04-16 20:00:00,9129.17619825,1.80107052
